"Date","Price","Open","High","Low","Vol.","Change %"
"10/26/2020","76.4950","76.1235","76.6070","76.0220","","0.49%"
"10/23/2020","76.1235","76.6168","76.8063","76.1201","","-0.64%"
"10/22/2020","76.6168","76.7229","77.1922","76.3880","","-0.14%"
"10/21/2020","76.7229","77.3423","77.3423","76.5874","","-0.80%"
"10/20/2020","77.3423","77.6500","78.0559","77.2907","","-0.40%"
"10/19/2020","77.6500","77.8938","78.0495","77.4447","","-0.31%"
"10/16/2020","77.8938","78.0885","78.3478","77.7567","","-0.25%"
"10/15/2020","78.0885","77.6328","78.4517","77.6325","","0.59%"
"10/14/2020","77.6328","77.0491","77.7270","77.0491","","0.76%"
"10/13/2020","77.0491","77.1449","77.4149","76.8830","","-0.12%"
"10/12/2020","77.1449","76.7675","77.2465","76.7657","","0.49%"
"10/09/2020","76.7675","77.3714","77.3714","76.6833","","-0.78%"
"10/08/2020","77.3714","78.0320","78.0988","77.3003","","-0.85%"
"10/07/2020","78.0320","78.4490","78.4723","77.9158","","-0.53%"
"10/06/2020","78.4490","78.1055","78.6503","77.6405","","0.44%"
"10/05/2020","78.1055","78.1851","78.8535","77.8652","","-0.10%"
"10/02/2020","78.1851","77.3346","78.8023","77.3225","","1.10%"
"10/01/2020","77.3346","77.6319","77.6319","77.0253","","-0.38%"
"09/30/2020","77.6319","79.0732","79.3410","77.5793","","-1.82%"
"09/29/2020","79.0732","79.0566","79.9438","78.4795","","0.02%"
"09/28/2020","79.0566","78.2164","79.2906","78.1315","","1.07%"
"09/25/2020","78.2164","77.1487","78.4860","76.6545","","1.38%"
"09/24/2020","77.1487","77.0808","77.4752","76.9096","","0.09%"
"09/23/2020","77.0808","76.0992","77.0925","76.0992","","1.29%"
"09/22/2020","76.0992","76.1224","76.4473","75.7379","","-0.03%"
"09/21/2020","76.1224","75.7440","76.5350","75.5799","","0.50%"
"09/18/2020","75.7440","75.2033","75.7638","74.9502","","0.72%"
"09/17/2020","75.2033","74.9778","75.4382","74.9358","","0.30%"
"09/16/2020","74.9778","75.0223","75.0979","74.6624","","-0.06%"
"09/15/2020","75.0223","75.2574","75.3668","74.8622","","-0.31%"
"09/14/2020","75.2574","75.1000","75.5145","74.5940","","0.22%"
"09/11/2020","75.0956","75.2048","75.2048","74.7645","","-0.15%"
"09/10/2020","75.2048","75.3163","75.6695","74.6810","","-0.15%"
"09/09/2020","75.3163","76.2826","76.3873","75.2898","","-1.27%"
"09/08/2020","76.2826","75.7585","76.5688","75.7328","","0.69%"
"09/07/2020","75.7585","75.4087","76.2455","75.4087","","0.46%"
"09/04/2020","75.4087","75.2680","75.6511","74.9388","","0.19%"
"09/03/2020","75.2680","75.4015","75.8095","74.8830","","-0.18%"
"09/02/2020","75.4015","73.5765","75.6756","73.5764","","2.48%"
"09/01/2020","73.5765","74.0718","74.0750","73.3757","","-0.67%"
"08/31/2020","74.0718","74.0056","74.5095","73.6445","","0.09%"
"08/28/2020","74.0056","74.9588","74.9664","74.0056","","-1.27%"
"08/27/2020","74.9588","75.3995","75.4954","74.7514","","-0.58%"
"08/26/2020","75.3995","75.3312","75.9878","75.3238","","0.09%"
"08/25/2020","75.3312","74.6401","75.7065","74.3320","","0.93%"
"08/24/2020","74.6401","74.7995","74.8000","74.1743","","-0.21%"
"08/21/2020","74.7995","73.7823","75.0010","73.7327","","1.38%"
"08/20/2020","73.7823","73.2920","74.1805","73.2920","","0.67%"
"08/19/2020","73.2920","73.1634","73.5430","73.0525","","0.18%"
"08/18/2020","73.1634","73.7015","73.7018","72.9473","","-0.73%"
"08/17/2020","73.7015","72.8558","73.7964","72.8001","","1.16%"
"08/14/2020","72.8558","72.9555","73.4780","72.8112","","-0.14%"
"08/13/2020","72.9555","73.7116","73.7597","72.9244","","-1.03%"
"08/12/2020","73.7116","73.1506","73.8008","73.0127","","0.77%"
"08/11/2020","73.1506","73.4667","73.5058","72.7023","","-0.43%"
"08/10/2020","73.4667","73.7170","73.9855","73.3681","","-0.34%"
"08/07/2020","73.7170","73.2782","73.9062","73.2782","","0.60%"
"08/06/2020","73.2782","72.8745","73.5925","72.6924","","0.55%"
"08/05/2020","72.8745","73.5325","73.5325","72.6438","","-0.89%"
"08/04/2020","73.5325","73.1149","74.0219","72.9504","","0.57%"
"08/03/2020","73.1149","74.4114","74.5348","73.1083","","-1.74%"
"07/31/2020","74.4114","73.1543","74.4947","73.1543","","1.72%"
"07/30/2020","73.1543","72.5810","73.7732","72.5700","","0.79%"
"07/29/2020","72.5810","72.5804","72.8590","72.0779","","0.00%"
"07/28/2020","72.5804","71.5650","72.6820","71.5650","","1.42%"
"07/27/2020","71.5650","71.7290","71.9212","71.4396","","-0.23%"
"07/24/2020","71.7290","71.4585","71.9760","71.3555","","0.38%"
"07/23/2020","71.4585","71.0675","71.6090","70.8310","","0.55%"
"07/22/2020","71.0675","70.7443","71.2837","70.6068","","0.46%"
"07/21/2020","70.7443","71.3428","71.3428","70.5414","","-0.84%"
"07/20/2020","71.3428","71.8825","72.1098","71.3372","","-0.75%"
"07/17/2020","71.8825","71.5920","71.9888","71.5682","","0.41%"
"07/16/2020","71.5920","70.9881","71.5935","70.9881","","0.85%"
"07/15/2020","70.9881","70.8703","71.1068","70.6639","","0.17%"
"07/14/2020","70.8703","70.9912","71.3312","70.8371","","-0.17%"
"07/13/2020","70.9912","70.7118","71.0449","70.5135","","0.40%"
"07/10/2020","70.7118","70.9414","71.4243","70.6642","","-0.32%"
"07/09/2020","70.9414","71.1138","71.1138","70.5064","","-0.24%"
"07/08/2020","71.1138","71.4936","71.5591","71.0509","","-0.53%"
"07/07/2020","71.4936","71.8276","72.2940","71.2525","","-0.47%"
"07/06/2020","71.8276","71.3983","72.0897","70.8085","","0.60%"
"07/03/2020","71.3983","70.5747","71.6532","70.3734","","1.17%"
"07/02/2020","70.5747","71.1734","71.2000","70.2013","","-0.84%"
"06/30/2020","71.1734","69.9980","71.3213","69.9900","","1.68%"
"06/29/2020","69.9980","69.7955","70.4325","69.6273","","0.29%"
"06/26/2020","69.7955","69.0183","69.9757","69.0183","","1.13%"
"06/25/2020","69.0183","68.8651","69.6505","68.8623","","0.22%"
"06/23/2020","68.8651","69.1003","69.1040","68.5636","","-0.34%"
"06/22/2020","69.1003","69.4460","69.5855","68.9895","","-0.50%"
"06/19/2020","69.4460","69.8744","69.8744","69.1917","","-0.61%"
"06/18/2020","69.8744","69.7446","69.9680","69.1860","","0.19%"
"06/17/2020","69.7446","69.6567","69.8775","69.3809","","0.13%"
"06/16/2020","69.6567","69.5536","69.9227","69.2038","","0.15%"
"06/15/2020","69.5536","70.2013","70.4949","69.5520","","-0.92%"
"06/11/2020","70.2013","68.4949","70.2284","68.4949","","2.49%"
"06/10/2020","68.4949","68.5617","68.9157","68.2240","","-0.10%"
"06/09/2020","68.5617","68.1966","68.9384","68.1966","","0.54%"
"06/08/2020","68.1966","68.6860","68.7000","68.0563","","-0.71%"
"06/05/2020","68.6860","69.1601","69.1601","68.2785","","-0.69%"
"06/04/2020","69.1601","68.6504","69.5345","68.6504","","0.74%"
"06/03/2020","68.6504","68.6754","68.9224","68.2380","","-0.04%"
"06/02/2020","68.6754","69.1249","69.1315","68.5882","","-0.65%"
"06/01/2020","69.1249","70.1445","70.1445","69.1249","","-1.45%"
"05/29/2020","70.1445","70.4928","70.8377","70.1445","","-0.49%"
"05/28/2020","70.4928","71.0038","71.1953","70.1447","","-0.72%"
"05/27/2020","71.0038","70.7948","71.4505","70.7800","","0.30%"
"05/26/2020","70.7948","71.6901","71.6901","70.6225","","-1.25%"
"05/25/2020","71.6901","71.6123","71.8330","71.4385","","0.11%"
"05/22/2020","71.6123","70.9631","72.0820","70.9625","","0.91%"
"05/21/2020","70.9631","71.1180","71.1835","70.6254","","-0.22%"
"05/20/2020","71.1180","72.4881","72.4888","71.0885","","-1.89%"
"05/19/2020","72.4881","72.6718","72.7206","72.2179","","-0.25%"
"05/18/2020","72.6718","73.6160","73.6300","72.6000","","-1.28%"
"05/15/2020","73.6160","73.4875","73.8596","73.0438","","0.17%"
"05/14/2020","73.4875","73.9290","74.4828","73.4387","","-0.60%"
"05/13/2020","73.9290","73.7134","74.2608","73.1035","","0.29%"
"05/12/2020","73.7134","73.4267","73.7934","72.9803","","0.39%"
"05/08/2020","73.4267","74.1003","74.1024","73.1154","","-0.91%"
"05/07/2020","74.1003","74.5643","74.5800","73.6050","","-0.62%"
"05/06/2020","74.5643","73.7551","74.9833","73.4536","","1.10%"
"05/05/2020","73.7551","74.8191","74.8191","73.5614","","-1.42%"
"05/04/2020","74.8191","74.3813","75.9330","74.3813","","0.59%"
"04/30/2020","74.3813","73.0162","74.6000","72.6449","","1.87%"
"04/29/2020","73.0162","74.1033","74.1033","72.9944","","-1.47%"
"04/28/2020","74.1033","74.4935","74.8158","73.8047","","-0.52%"
"04/27/2020","74.4935","74.5651","74.7972","74.0637","","-0.10%"
"04/24/2020","74.5651","74.7727","74.8824","73.9827","","-0.28%"
"04/23/2020","74.7727","75.9065","75.9072","74.2494","","-1.49%"
"04/22/2020","75.9065","77.0694","77.5322","75.8369","","-1.51%"
"04/21/2020","77.0694","75.5185","77.6158","75.5185","","2.05%"
"04/20/2020","75.5185","73.9580","75.5185","73.9500","","2.11%"
"04/17/2020","73.9580","74.1841","74.4013","73.6193","","-0.30%"
"04/16/2020","74.1841","74.8437","75.0257","73.7649","","-0.88%"
"04/15/2020","74.8437","72.9953","75.3450","72.9953","","2.53%"
"04/14/2020","72.9953","73.6013","73.6100","72.7453","","-0.82%"
"04/13/2020","73.6013","73.7523","73.7590","73.3943","","-0.20%"
"04/10/2020","73.7523","74.2565","74.2828","73.1902","","-0.68%"
"04/09/2020","74.2565","74.9406","74.9630","72.9205","","-0.91%"
"04/08/2020","74.9406","75.5471","75.8867","74.9202","","-0.80%"
"04/07/2020","75.5471","76.0059","76.0200","75.1935","","-0.60%"
"04/06/2020","76.0059","76.4918","76.6555","75.9388","","-0.64%"
"04/03/2020","76.4918","77.2349","77.5814","76.4902","","-0.96%"
"04/02/2020","77.2349","78.7310","79.2057","77.2330","","-1.90%"
"04/01/2020","78.7310","78.4426","79.3351","78.4426","","0.37%"
"03/31/2020","78.4426","79.3378","79.3378","77.7498","","-1.13%"
"03/30/2020","79.3378","78.8122","80.3865","78.8122","","0.67%"
"03/27/2020","78.8122","77.4751","79.2873","77.4675","","1.73%"
"03/26/2020","77.4751","78.2023","79.0237","77.0185","","-0.93%"
"03/25/2020","78.2023","78.2965","79.3950","76.9841","","-0.12%"
